Date,Prefecture,Newly confirmed cases,1
2020/01/31,Gifu,0,1
2020/01/31,Shizuoka,0,1
2020/01/31,Aichi,0,1
2020/01/31,Mie,0,1
2020/01/31,Shiga,0,1
2020/01/31,Kyoto,0,1
2020/01/31,Osaka,0,1
2020/01/31,Hyogo,0,1
2020/01/31,Nara,0,1
2020/01/31,Wakayama,0,1
2020/01/31,Tottori,0,1
2020/01/31,Shimane,0,1
2020/01/31,Okayama,0,1
2020/01/31,Hiroshima,0,1
2020/01/31,Yamaguchi,0,1
2020/01/31,Tokushima,0,1
2020/01/31,Kagawa,0,1
2020/01/31,Ehime,0,1
2020/01/31,Kochi,0,1
2020/01/31,Fukuoka,0,1
2020/01/31,Saga,0,1
2020/01/31,Nagasaki,0,1
2020/01/31,Kumamoto,0,1
2020/01/31,Oita,0,1
2020/01/31,Miyazaki,0,1
2020/01/31,Kagoshima,0,1
2020/01/31,Okinawa,0,1
2020/02/01,ALL,0,1
2020/02/01,Hokkaido,0,1
2020/02/01,Aomori,0,1
2020/02/01,Iwate,0,1
2020/02/01,Miyagi,0,1
2020/02/01,Akita,0,1
2020/02/01,Yamagata,0,1
2020/02/01,Fukushima,0,1
2020/02/01,Ibaraki,0,1
2020/02/01,Tochigi,0,1
2020/02/01,Gunma,0,1
2020/02/01,Saitama,0,1
2020/02/01,Chiba,0,1
2020/02/01,Tokyo,0,1
2020/02/01,Kanagawa,0,1
2020/02/01,Niigata,0,1
2020/02/01,Toyama,0,1
2020/02/01,Ishikawa,0,1
2020/02/01,Fukui,0,1
2020/02/01,Yamanashi,0,1
2020/02/01,Nagano,0,1
2020/02/01,Gifu,0,1
2020/02/01,Shizuoka,0,1
2020/02/01,Aichi,0,1
2020/02/01,Mie,0,1
2020/02/01,Shiga,0,1
2020/02/01,Kyoto,0,1
2020/02/01,Osaka,0,1
2020/02/01,Hyogo,0,1
2020/02/01,Nara,0,1
2020/02/01,Wakayama,0,1
2020/02/01,Tottori,0,1
2020/02/01,Shimane,0,1
2020/02/01,Okayama,0,1
2020/02/01,Hiroshima,0,1
